The United States of America, Life expectancy at birth

Year     Female    Male   Total
1959      73.35   66.78   69.93
1960      73.32   66.61   69.82
1961      73.69   67.00   70.22
1962      73.60   66.87   70.11
1963      73.51   66.62   69.93
1964      73.83   66.81   70.20
1965      73.94   66.80   70.24
1966      73.96   66.69   70.21
1967      74.33   66.94   70.53
1968      74.10   66.58   70.23
1969      74.40   66.78   70.49
1970      74.66   67.03   70.75
1971      74.98   67.38   71.10
1972      75.13   67.41   71.19
1973      75.33   67.60   71.39
1974      75.87   68.18   71.97
1975      76.47   68.70   72.54
1976      76.69   69.06   72.85
1977      77.08   69.39   73.22
1978      77.22   69.60   73.40
1979      77.65   69.98   73.82
1980      77.48   69.99   73.74
1981      77.81   70.41   74.13
1982      78.09   70.81   74.48
1983      78.10   70.97   74.57
1984      78.19   71.13   74.70
1985      78.20   71.09   74.68
1986      78.29   71.16   74.77
1987      78.38   71.33   74.90
1988      78.34   71.35   74.89
1989      78.61   71.64   75.18
1990      78.89   71.89   75.44
1991      79.01   72.06   75.59
1992      79.22   72.34   75.83
1993      78.96   72.18   75.61
1994      79.08   72.39   75.78
1995      79.09   72.58   75.88
1996      79.22   73.07   76.19
1997      79.36   73.54   76.51
1998      79.40   73.81   76.66
1999      79.39   73.99   76.75
